Threshold,Precision,Recall,F1,Flagged_Count,Flagged_Rate
0.1,0.5508715759516186,0.9771771140092553,0.7045575187684842,16866,0.5811853893866299
0.11,0.5623367948017247,0.9739167017248632,0.7129932627526467,16467,0.5674362508614749
0.12,0.5743382123948926,0.9698148927219183,0.7214333215976215,16055,0.5532391454169538
0.13,0.58765131621085,0.9649768615902398,0.7304645515703992,15613,0.5380082701585114
0.13999999999999999,0.6005794429446237,0.9592974337400084,0.7386920429236687,15187,0.523328738800827
0.14999999999999997,0.6125396504015658,0.9545645771981489,0.7462281603288797,14817,0.510578911095796
0.15999999999999998,0.6255109817778701,0.9495161968868321,0.7541873773025354,14433,0.49734665747760165
0.16999999999999998,0.6372096327342474,0.9434160706773244,0.7606529573881704,14077,0.48507925568573396
0.17999999999999997,0.6497628602699744,0.9365797223390829,0.7672424934304054,13705,0.4722605099931082
0.18999999999999995,0.6624027528426092,0.9313209928481279,0.7741738066095472,13368,0.46064782908339075
0.19999999999999996,0.6728371452612254,0.9251156920488011,0.779062043310748,13073,0.45048242591316334
0.20999999999999996,0.6842477042618319,0.9169120740429112,0.7836756708166659,12741,0.4390420399724328
0.21999999999999995,0.6959595148204675,0.9112326461926799,0.7891788495696134,12449,0.4289800137835975
0.22999999999999995,0.7055058669073603,0.9042911232646192,0.7926250288084812,12187,0.4199517574086837
0.23999999999999994,0.7148480026798426,0.8977702986958351,0.7959345424029092,11941,0.4114748449345279
0.24999999999999992,0.723435101483882,0.8921960454354227,0.7990016012056136,11726,0.404066161268091
0.2599999999999999,0.7349198047419805,0.8867269667648296,0.80371782650143,11472,0.39531357684355617
0.2699999999999999,0.7444256906813538,0.8813630626840555,0.8071273777991813,11257,0.38790489317711924
0.2799999999999999,0.7534803832941602,0.876630206142196,0.8104035002430724,11062,0.38118538938662994
0.2899999999999999,0.762070864696163,0.8731594446781658,0.8138417802176258,10894,0.3753962784286699
0.29999999999999993,0.7693812896011927,0.8684265881363062,0.8159090909090909,10732,0.3698139214334941
0.30999999999999994,0.7752098858598245,0.8643247791333614,0.8173454672037396,10601,0.36529979324603723
0.3199999999999999,0.78316253232449,0.8600126209507782,0.8197904656875031,10441,0.35978635423845623
0.32999999999999985,0.7894481150408084,0.8545435422801851,0.8207070707070707,10292,0.35465196416264644
0.33999999999999986,0.7965167765423595,0.8513883045856121,0.8230389914086726,10163,0.3502067539627843
0.34999999999999987,0.8021550434001796,0.8456037021455617,0.8233065383236905,10023,0.3453824948311509
0.3599999999999999,0.8068743070255014,0.8419225915018932,0.8240259406042514,9921,0.3418676774638181
0.3699999999999999,0.8115529339977626,0.8392932267564156,0.8251900108577633,9833,0.3388352860096485
0.3799999999999999,0.8159275645642556,0.8340344972654606,0.8248816768086545,9719,0.3349069607167471
0.3899999999999999,0.8202305535361928,0.8306689103912495,0.8254167319851596,9629,0.3318056512749828
0.3999999999999998,0.8242023509655751,0.82593605384939,0.8250682916579113,9528,0.3283252929014473
0.4099999999999998,0.8270859805167302,0.8215187210769878,0.8242929506120726,9444,0.32543073742246725
0.4199999999999998,0.8315699476327882,0.8183634833824148,0.8249138616485555,9357,0.3224328049620951
0.4299999999999998,0.8354730823174021,0.8144720235591081,0.824838898652607,9269,0.3194004135079256
0.43999999999999984,0.8390854654327708,0.8105805637358015,0.8245867437008506,9185,0.31650585802894554
0.44999999999999984,0.8428163444639719,0.807004627681952,0.824521813883516,9104,0.3137146795313577
0.45999999999999985,0.8474595074328822,0.8034286916281026,0.8248569268977433,9014,0.3106133700895934
0.46999999999999986,0.8489112227805695,0.799537231804796,0.8234848074527433,8955,0.3085802894555479
0.47999999999999976,0.8524184476940383,0.7970130416491376,0.8237851940428308,8890,0.30634045485871814
0.48999999999999977,0.8555215072069005,0.7928060580563736,0.822970686172826,8811,0.303618194348725
0.4999999999999998,0.8579746546409407,0.7903870424905343,0.8227952044670718,8759,0.3018263266712612
0.5099999999999998,0.8612070951393688,0.7863904080774085,0.8221000549752612,8682,0.29917298414886284
0.5199999999999998,0.8642176238084166,0.7818679007151872,0.8209828823854224,8602,0.29641626464507237
0.5299999999999998,0.8680996006577402,0.7773453933529659,0.8202197314393519,8514,0.2933838731909028
0.5399999999999998,0.8717827066777369,0.7730332351703828,0.8194436702157311,8431,0.2905237767057202
0.5499999999999998,0.8752991862134993,0.7692469499368952,0.8188535602328706,8356,0.2879393521709166
