Model,ROC_AUC,PR_AUC,Precision_at_0.5,Recall_at_0.5,Mean_Predicted_Probability
Baseline,0.9492730143901829,0.9168454405848177,0.8579746546409407,0.7903870424905343,0.3270613426397856
Class Weighted,0.9497053919989226,0.9163778904062105,0.7985980847072761,0.8507572570466975,0.385639692214948
