Fold,ROC_AUC,PR_AUC
1,0.9441541548786371,0.9056655717595027
2,0.9504887256097125,0.9181160937620918
3,0.9497656436533126,0.9173968007775035
4,0.9493078585168382,0.9156288219856805
5,0.9548105773361123,0.9250821637462738
