Fold,ROC_AUC,PR_AUC
1,0.9431014031343726,0.9053720703057893
2,0.9502036699268142,0.9183028730999853
3,0.9494905009752608,0.9183381319180481
4,0.9491557350675137,0.9166400373561974
5,0.9544137628469533,0.925574090244068
